id;codigo;fecha_reserva;estado
1;pro bicycle afore;2026-09-21T18:47:25;ack
2;cautious;2026-09-22T15:05:52;sheepishly ascertain
3;down swiftly wilted;2026-09-21T20:30:24;slime
4;under unfurl;2026-09-22T02:49:40;perfection
5;upside-down colossal;2026-09-22T08:42:39;and onto
6;boo digit if;2026-09-22T04:06:05;gee
7;formal out;2026-09-21T20:20:13;phooey
8;whose aw;2026-09-22T04:35:55;furiously unto psst
9;during;2026-09-22T09:05:06;besides preheat
10;below once;2026-09-22T04:24:33;oof nudge whoever
