id;numero_vuelo;origen;destino;fecha_salida;fecha_llegada
1;than joyously how;ah near controvert;distinct;2026-09-21T23:03:41;2026-09-21T17:58:54
2;of without afraid;upwardly;male;2026-09-22T14:20:41;2026-09-22T03:11:05
3;noxious;basket inside;underachieve wherever;2026-09-21T20:31:49;2026-09-21T23:21:23
4;nucleotidase;not embalm probable;furthermore lest;2026-09-22T08:35:07;2026-09-22T07:00:06
5;as incidentally warlike;readily swanling yuck;boulevard posh playfully;2026-09-22T02:17:18;2026-09-22T04:26:14
6;reckless drat unhappy;own strait;doting;2026-09-21T19:09:13;2026-09-22T00:02:33
7;cash afterwards;stir-fry slide flat;finally although;2026-09-22T00:12:00;2026-09-22T01:57:29
8;spattering;unfreeze;brr until;2026-09-21T18:39:21;2026-09-22T03:58:56
9;sadly whoever;because misfire bah;until long-term after;2026-09-21T23:56:40;2026-09-22T14:25:22
10;an evenly license;provision homely;bowed;2026-09-21T21:11:08;2026-09-22T07:48:38
